aab | arrabury airport | tanbar | brisbane
aac | el arish international airport | arish | cairo
aad | adado airport | adado | khartoum
aae | les salines airport | el hadjar | algiers
aal | aalborg airport | vadum | copenhagen
aan | al ain airport |  | dubai
aaq | anapa airport | anapa | moscow
aar | aarhus airport | ebeltoft | copenhagen
aat | altay airport | awiytan | urumqi
aax | araxa airport | araxa | sao paulo
aba | abakan airport | podsineye | krasnoyarsk
abb | asaba international airport | asaba | lagos
abd | abadan airport | abadan | tehran
abe | lehigh valley international airport | catasauqua | new york
abi | abilene regional airport |  | chicago
abj | felix houphouet boigny airport | abidjan | abidjan
abl | ambler airport |  | anchorage
abm | northern peninsula airport |  | brisbane
abr | aberdeen municipal airport | aberdeen | chicago
abt | al-aqiq airport | al bahah | riyadh
abu | haliwen airport | atambua | makassar
abv | nnamdi azikiwe international airport | madala | lagos
abx | albury airport | east albury | sydney
aby | southwest georgia regional airport |  | new york
abz | aberdeen international airport | dyce | london
aca | acapulco international airport | 10 de abril | mexico city
acc | kotoka international airport | accra | accra
ace | lanzarote airport | tias | canary
acf | alaer talimu airport | aral | urumqi
ach | altenrhein airport | rheineck | zurich
aci | alderney airport | beaumont-hague | guernsey
ack | nantucket memorial airport | nantucket | new york
aco | cobano airport | cobano | costa rica
act | waco municipal airport | gholson | chicago
acv | arcata-eureka airport | mckinleyville | los angeles
acx | xingyi airport | xinzhou | shanghai
acy | atlantic city international airport | pomona | new york
acz | zabol airport | zabol | tehran
ada | adana airport | seyhan | istanbul
adb | izmir adnan menderes airport |  | istanbul
add | addis ababa bole international airport | addis ababa | addis ababa
adf | adiyaman airport | adiyaman | istanbul
adj | marka international airport | amman | amman
adl | adelaide airport | plympton | adelaide
adm | ardmore municipal airport | dickson | chicago
adq | kodiak benny benson state airport |  | anchorage
ads | addison airport | haltom city | chicago
adu | ardabil airport | namin | tehran
adz | gustavo rojas pinilla airport | san andres | bogota
aee | adareil airport |  | juba
aep | jorge newbery airport | colegiales | argentina
aeq | ar horqin airport | tianshan | shanghai
aer | sochi international airport | orel-izumrud | moscow
aes | vigra alesund airport | valderoy | oslo
aex | alexandria international airport | alexandria | chicago
aey | akureyri airport | akureyri | reykjavik
afa | san rafael airport | san rafael | argentina
afk | ampara kondavattavan tank airport | ampara | colombo
afl | alta floresta airport |  | cuiaba
afw | fort worth alliance airport | haslet | chicago
aga | agadir al massira airport | inezgane | casablanca
agb | augsburg airport | rehling | berlin
agc | allegheny county airport | pleasant hills | new york
agf | la garenne airport | le passage | paris
agh | angelholm helsingborg airport |  | stockholm
agp | malaga airport |  | madrid
ags | augusta regional airport |  | new york
agt | alejo garcia airport | colonia yguazu | asuncion
agu | aguascalients international airport | penuelas (el cienegal) | mexico city
agx | agatti island airport | kavaratti | kolkata
ahb | abha regional airport |  | riyadh
ahe | ahe airport |  | tahiti
ahj | hongyuan airport | qiongxi | shanghai
aho | alghero-fertilia airport | alghero | rome
ahu | charif al idrissi airport | imzourene | casablanca
aia | alliance airport | alliance | denver
ait | aitutaki airport |  | rarotonga
aja | ajaccio napoleon bonaparte airport | ajaccio | paris
ajf | jouf airport | sakaka | riyadh
aji | agri airport | hamur | istanbul
ajl | aizawl airport | sairang | kolkata
ajr | arvidsjaur airport | arvidsjaur | stockholm
aju | aracaju airport | aracaju | maceio
akj | asahikawa airport | asahikawa | tokyo
akl | auckland airport | mangere | auckland
akn | king salmon airport |  | anchorage
ako | colorado plains regional airport | akron | denver
aku | aksu airport |  | shanghai
akx | aktyubinsk airport | aqtobe | aqtobe
aky | civil airport |  | rangoon
ala | almaty airport | pervomayskiy | almaty
alb | albany international airport | colonie | new york
alc | alicante-elche airport |  | madrid
alf | alta airport | alta | oslo
alg | houari boumediene airport | dar el beida | algiers
alh | albany airport | albany | perth
alj | alexander bay airport |  | johannesburg
alo | waterloo airport | cedar falls | chicago
als | alamosa municipal airport | alamosa | denver
alw | walla walla airport | walla walla east | los angeles
ama | rick husband amarillo international airport |  | chicago
amd | ahmedabad airport | naroda | kolkata
amh | arba mintch airport | arba minch' | addis ababa
amm | queen alia international airport | al jizah | amman
amq | pattimura airport | amahusu | jayapura
ams | amsterdam airport schiphol | aalsmeer | amsterdam
